Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Guinea,2014-08-29,25.0,141.0,482.0,648.0,2.0,141.0,287.0,430.0
Nigeria,2014-08-29,3.0,1.0,15.0,19.0,0.0,1.0,6.0,7.0
Sierra Leone,2014-08-29,54.0,37.0,935.0,1026.0,8.0,34.0,380.0,422.0
Liberia,2014-08-29,382.0,674.0,322.0,1378.0,168.0,301.0,225.0,694.0
Sierra Leone,2014-09-05,78.0,37.0,1146.0,1261.0,11.0,37.0,443.0,491.0
Nigeria,2014-09-05,3.0,1.0,18.0,22.0,0.0,1.0,7.0,8.0
Liberia,2014-09-05,369.0,888.0,614.0,1871.0,257.0,401.0,431.0,1089.0
Guinea,2014-09-05,56.0,152.0,604.0,812.0,3.0,152.0,362.0,517.0
Senegal,2014-09-05,,,1.0,1.0,,,0.0,0.0
Senegal,2014-09-08,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Guinea,2014-09-08,47.0,151.0,664.0,862.0,4.0,151.0,400.0,555.0
Sierra Leone,2014-09-08,90.0,37.0,1234.0,1361.0,11.0,37.0,461.0,509.0
Liberia,2014-09-08,443.0,969.0,634.0,2046.0,296.0,420.0,508.0,1224.0
Nigeria,2014-09-08,1.0,1.0,19.0,21.0,0.0,1.0,7.0,8.0
Guinea,2014-09-12,32.0,151.0,678.0,861.0,4.0,150.0,403.0,557.0
Sierra Leone,2014-09-12,100.0,37.0,1287.0,1424.0,12.0,34.0,478.0,524.0
Nigeria,2014-09-12,1.0,1.0,19.0,21.0,0.0,1.0,7.0,8.0
Liberia,2014-09-12,453.0,974.0,654.0,2081.0,211.0,428.0,498.0,1137.0
Senegal,2014-09-12,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Senegal,2014-09-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-09-16,119.0,37.0,1464.0,1620.0,11.0,37.0,514.0,562.0
Guinea,2014-09-16,31.0,162.0,743.0,936.0,4.0,162.0,429.0,595.0
Nigeria,2014-09-16,1.0,1.0,19.0,21.0,0.0,1.0,7.0,8.0
Liberia,2014-09-16,539.0,1078.0,790.0,2407.0,261.0,472.0,563.0,1296.0
Nigeria,2014-09-18,1.0,1.0,19.0,21.0,0.0,1.0,7.0,8.0
Guinea,2014-09-18,30.0,162.0,750.0,942.0,5.0,161.0,435.0,601.0
Sierra Leone,2014-09-18,123.0,37.0,1513.0,1673.0,11.0,34.0,517.0,562.0
Liberia,2014-09-18,675.0,1233.0,812.0,2710.0,310.0,518.0,631.0,1459.0
Senegal,2014-09-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-09-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2014-09-22,136.0,37.0,1640.0,1813.0,11.0,37.0,545.0,593.0
Liberia,2014-09-22,817.0,1342.0,863.0,3022.0,364.0,544.0,670.0,1578.0
Senegal,2014-09-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-09-22,28.0,162.0,818.0,1008.0,5.0,162.0,465.0,632.0
Liberia,2014-09-24,921.0,1469.0,890.0,3280.0,413.0,593.0,671.0,1677.0
Guinea,2014-09-24,28.0,162.0,832.0,1022.0,5.0,162.0,468.0,635.0
Nigeria,2014-09-24,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-09-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-09-24,158.0,37.0,1745.0,1940.0,11.0,34.0,552.0,597.0
Sierra Leone,2014-09-26,168.0,37.0,1816.0,2021.0,11.0,37.0,557.0,605.0
Liberia,2014-09-26,1005.0,1539.0,914.0,3458.0,415.0,623.0,792.0,1830.0
Senegal,2014-09-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-09-26,36.0,162.0,876.0,1074.0,5.0,162.0,481.0,648.0
Nigeria,2014-09-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-10-01,37.0,170.0,950.0,1157.0,5.0,170.0,535.0,710.0
Senegal,2014-10-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-01,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2014-10-01,191.0,37.0,2076.0,2304.0,11.0,37.0,574.0,622.0
Liberia,2014-10-01,1113.0,1656.0,927.0,3696.0,444.0,664.0,890.0,1998.0
United States of America,2014-10-03,,,1.0,1.0,,,0.0,0.0
Nigeria,2014-10-03,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-10-03,45.0,177.0,977.0,1199.0,0.0,177.0,562.0,739.0
Liberia,2014-10-03,1190.0,1713.0,931.0,3834.0,458.0,677.0,934.0,2069.0
Sierra Leone,2014-10-03,221.0,37.0,2179.0,2437.0,11.0,37.0,575.0,623.0
Senegal,2014-10-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-08,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2014-10-08,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-10-08,74.0,180.0,1044.0,1298.0,2.0,179.0,587.0,768.0
Sierra Leone,2014-10-08,297.0,37.0,2455.0,2789.0,31.0,123.0,725.0,879.0
Liberia,2014-10-08,1188.0,1795.0,941.0,3924.0,491.0,701.0,1018.0,2210.0
United States of America,2014-10-10,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-10-10,1259.0,1874.0,943.0,4076.0,519.0,725.0,1072.0,2316.0
Nigeria,2014-10-10,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-10,,,1.0,1.0,,,0.0,0.0
